,all stations
556,-1.77466930561e-05
557,-2.15721320379e-05
558,1.23115520289e-06
559,9.41143379022e-07
560,-6.10290955654e-08
561,-2.39192735106e-08
562,1.77255619692e-08
563,2.29237364317e-07
564,-8.70130591667e-07
565,-5.06550251367e-08
566,1.27648365605e-06
567,2.33539585364e-06
568,-3.57478510066e-06
569,-1.46388252932e-06
570,-5.03503184467e-07
571,1.10822611725e-07
572,-6.76182885214e-08
573,3.97189750428e-07
574,3.65968274249e-07
575,8.47887618592e-08
576,-1.31949549256e-08
577,2.57143526828e-08
578,5.01658409427e-08
579,3.62642209788e-07
580,1.11497266342e-07
581,-1.42142189961e-07
582,-5.77070706333e-08
583,1.79680818387e-07
584,1.08533931838e-08
585,2.52739317522e-07
586,-8.0768253564e-07
587,-5.10037483311e-07
588,1.57481723216e-07
589,-3.07855220563e-07
590,-1.11430905522e-06
591,-1.45890796643e-06
592,-5.54236907158e-07
593,1.7442313683e-06
594,2.40603962424e-05
595,6.53009103692e-09
596,2.55130304827e-06
597,1.78244056027e-07
598,5.00560809135e-08
599,-1.13398429986e-08
600,-7.23618430324e-09
601,2.21276637111e-07
602,-1.41487941723e-08
603,8.61188016593e-08
604,3.17010720466e-07
605,1.73070525564e-07
606,-9.11342112886e-10
607,5.8573760725e-08
608,2.06386536666e-07
609,2.69507193079e-07
610,3.29862129044e-08
611,3.59189325518e-08
612,1.52383988188e-07
613,2.48070704031e-07
614,5.55879301018e-08
615,5.4893294953e-09
616,4.26329169211e-08
617,1.03345929786e-07
618,1.37520548981e-08
619,2.16245647821e-08
620,6.75888019285e-08
621,2.69502841823e-07
622,4.42876781095e-08
623,2.49138463375e-09
624,2.26620892048e-08
625,4.95110952844e-08
626,-2.50099465573e-09
627,4.04607854963e-08
628,1.32437933773e-07
629,3.66034023173e-07
630,3.31887470137e-08
631,4.9608846074e-08
632,2.17235515982e-07
633,2.10456960325e-07
634,8.57575685291e-09
635,5.26490801195e-08
636,1.87300688696e-07
637,4.30710324032e-07
638,9.70385402826e-08
639,-2.2930566715e-08
640,1.27175920381e-08
641,3.90366863496e-08
642,-5.56004857107e-08
643,1.10523085201e-07
644,3.56915032728e-07
645,2.05198846038e-07
646,1.03522093857e-08
